regiao_codigo,regiao_nome,dormidas,ano,origem
,11A1312: Porto,968114.0,2024,Portugal
,11A1313: Póvoa de Varzim,125440.0,2024,Portugal
,11A0109: Santa Maria da Feira,87333.0,2024,Portugal
,11A1314: Santo Tirso,58659.0,2024,Portugal
,11A0116: São João da Madeira,27431.0,2024,Portugal
,11A1318: Trofa,10977.0,2024,Portugal
,11A0119: Vale de Cambra,9699.0,2024,Portugal
,11A1315: Valongo,78027.0,2024,Portugal
,11A1316: Vila do Conde,58404.0,2024,Portugal
,11A1317: Vila Nova de Gaia,387105.0,2024,Portugal
,11B: Alto Tâmega,259738.0,2024,Portugal
,11B1702: Boticas,12469.0,2024,Portugal
,11B1703: Chaves,162904.0,2024,Portugal
,11B1706: Montalegre,17828.0,2024,Portugal
,11B1709: Ribeira de Pena,35786.0,2024,Portugal
,11B1712: Valpaços,7463.0,2024,Portugal
,11B1713: Vila Pouca de Aguiar,23288.0,2024,Portugal
,11C: Tâmega e Sousa,311711.0,2024,Portugal
,11C1301: Amarante,50284.0,2024,Portugal
,11C1302: Baião,47790.0,2024,Portugal
,11C0106: Castelo de Paiva,19647.0,2024,Portugal
,11C0305: Celorico de Basto,20732.0,2024,Portugal
,11C1804: Cinfães,13925.0,2024,Portugal
,11C1303: Felgueiras,19283.0,2024,Portugal
,11C1305: Lousada,31711.0,2024,Portugal
,11C1307: Marco de Canaveses,16784.0,2024,Portugal
,11C1309: Paços de Ferreira,15476.0,2024,Portugal
,11C1311: Penafiel,60395.0,2024,Portugal
,11C1813: Resende,15684.0,2024,Portugal
,11D: Douro,368624.0,2024,Portugal
,11D1701: Alijó,21113.0,2024,Portugal
,11D1801: Armamar,17797.0,2024,Portugal
,11D0403: Carrazeda de Ansiães,9132.0,2024,Portugal
,11D0404: Freixo de Espada à Cinta,17607.0,2024,Portugal
,11D1805: Lamego,71859.0,2024,Portugal
,11D1704: Mesão Frio,21757.0,2024,Portugal
,11D1807: Moimenta da Beira,4491.0,2024,Portugal
,11D1707: Murça,2886.0,2024,Portugal
,11D1812: Penedono,1397.0,2024,Portugal
,11D1708: Peso da Régua,45851.0,2024,Portugal
,11D1710: Sabrosa,8254.0,2024,Portugal
,11D1711: Santa Marta de Penaguião,3542.0,2024,Portugal
,11D1815: São João da Pesqueira,11161.0,2024,Portugal
,11D1818: Sernancelhe,14783.0,2024,Portugal
,11D1819: Tabuaço,16767.0,2024,Portugal
,11D1820: Tarouca,16357.0,2024,Portugal
,11D0409: Torre de Moncorvo,13492.0,2024,Portugal
